id;kode_provinsi;nama_provinsi;pendidikan;jumlah_pengangguran_terbuka;satuan;tahun
1;32;JAWA BARAT;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;235987;ORANG;2011
2;32;JAWA BARAT;SD;395126;ORANG;2011
3;32;JAWA BARAT;SMP;494091;ORANG;2011
4;32;JAWA BARAT;SMA;634994;ORANG;2011
5;32;JAWA BARAT;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;141645;ORANG;2011
6;32;JAWA BARAT;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;146097;ORANG;2012
7;32;JAWA BARAT;SD;481523;ORANG;2012
8;32;JAWA BARAT;SMP;509412;ORANG;2012
9;32;JAWA BARAT;SMA;607774;ORANG;2012
10;32;JAWA BARAT;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;84180;ORANG;2012
11;32;JAWA BARAT;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;164721;ORANG;2013
12;32;JAWA BARAT;SD;464011;ORANG;2013
13;32;JAWA BARAT;SMP;521336;ORANG;2013
14;32;JAWA BARAT;SMA;648113;ORANG;2013
15;32;JAWA BARAT;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;90486;ORANG;2013
16;32;JAWA BARAT;TIDAK/BELUM PERNAH SEKOLAH;14294;ORANG;2014
17;32;JAWA BARAT;TIDAK/BELUM TAMAT SD;76107;ORANG;2014
18;32;JAWA BARAT;SD;353656;ORANG;2014
19;32;JAWA BARAT;SMP;449824;ORANG;2014
20;32;JAWA BARAT;SMA;795572;ORANG;2014
21;32;JAWA BARAT;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;85743;ORANG;2014
22;32;JAWA BARAT;TIDAK/BELUM PERNAH SEKOLAH;9054;ORANG;2015
23;32;JAWA BARAT;TIDAK/BELUM TAMAT SD;114771;ORANG;2015
24;32;JAWA BARAT;SD;303806;ORANG;2015
25;32;JAWA BARAT;SMP;405268;ORANG;2015
26;32;JAWA BARAT;SMA;824561;ORANG;2015
27;32;JAWA BARAT;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;137414;ORANG;2015
28;32;JAWA BARAT;TIDAK/BELUM TAMAT SD;109257;ORANG;2016
29;32;JAWA BARAT;SD;388370;ORANG;2016
30;32;JAWA BARAT;SMP;399038;ORANG;2016
31;32;JAWA BARAT;SMA;825187;ORANG;2016
32;32;JAWA BARAT;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;152009;ORANG;2016
33;32;JAWA BARAT;TIDAK/BELUM TAMAT SD;97846;ORANG;2017
34;32;JAWA BARAT;SD;281389;ORANG;2017
35;32;JAWA BARAT;SMP;398103;ORANG;2017
36;32;JAWA BARAT;SMA;887989;ORANG;2017
37;32;JAWA BARAT;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;174101;ORANG;2017
38;32;JAWA BARAT;TIDAK/BELUM TAMAT SD;67747;ORANG;2018
39;32;JAWA BARAT;SD;311668;ORANG;2018
40;32;JAWA BARAT;SMP;334263;ORANG;2018
41;32;JAWA BARAT;SMA;960145;ORANG;2018
42;32;JAWA BARAT;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;174411;ORANG;2018
43;32;JAWA BARAT;TIDAK/BELUM TAMAT SD;103796;ORANG;2019
44;32;JAWA BARAT;SD;288692;ORANG;2019
45;32;JAWA BARAT;SMP;354862;ORANG;2019
46;32;JAWA BARAT;SMA;965975;ORANG;2019
47;32;JAWA BARAT;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;188173;ORANG;2019
48;32;JAWA BARAT;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;322521;ORANG;2020
49;32;JAWA BARAT;SD;1272366;ORANG;2020
50;32;JAWA BARAT;SMP;899846;ORANG;2020
51;32;JAWA BARAT;SMA (UMUM);1005268;ORANG;2020
52;32;JAWA BARAT;SMA (KEJURUAN);1014084;ORANG;2020
53;32;JAWA BARAT;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;490915;ORANG;2020
54;32;JAWA BARAT;SD KE BAWAH;553308;ORANG;2021
55;32;JAWA BARAT;SMP;420842;ORANG;2021
56;32;JAWA BARAT;SMA (UMUM);572088;ORANG;2021
57;32;JAWA BARAT;SMA (KEJURUAN);679710;ORANG;2021
58;32;JAWA BARAT;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;204199;ORANG;2021
59;32;JAWA BARAT;SD KE BAWAH;448542;ORANG;2022
60;32;JAWA BARAT;SMP;370420;ORANG;2022
61;32;JAWA BARAT;SMA (UMUM);567740;ORANG;2022
62;32;JAWA BARAT;SMA (KEJURUAN);572871;ORANG;2022
63;32;JAWA BARAT;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;166033;ORANG;2022
64;32;JAWA BARAT;SD KE BAWAH;363602;ORANG;2023
65;32;JAWA BARAT;SMP;314419;ORANG;2023
66;32;JAWA BARAT;SMA (UMUM);539493;ORANG;2023
67;32;JAWA BARAT;SMA (KEJURUAN);525992;ORANG;2023
68;32;JAWA BARAT;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;144781;ORANG;2023
